,Date,Type,Team,Conf.,Opp.,Venue,Win,Points_For,Points_Against,Point_Differential,Season,Opp_Conf
9895,2015-11-24,N,George Washington,A10,Gardner Webb,Home,True,94,65,29,2015-16,BSth
9909,2015-11-24,N,Hartford,AE,Niagara,Home,True,77,73,4,2015-16,MAAC
9908,2015-11-24,N,Oklahoma,B12,Incarnate Word,Home,True,96,63,33,2015-16,Slnd
9907,2015-11-24,N,Colorado St.,MWC,Abilene Christian,Home,True,108,100,8,2015-16,Slnd
31169,2021-12-15,N,Washington St.,P12,New Mexico St.,Home,False,64,61,3,2021-22,WAC
31170,2021-12-15,N,UNLV,MWC,Nebraska Omaha,Home,True,84,71,13,2021-22,Sum
31172,2021-12-15,N,Jacksonville St.,ASun,FIU,Home,True,66,59,7,2021-22,CUSA
9894,2015-11-24,N,Louisville,ACC,St. Francis NY,Home,True,85,41,44,2015-16,NEC
9903,2015-11-24,N,Tennessee,SEC,Army,Home,True,95,80,15,2015-16,Pat
31175,2021-12-15,N,USC,P12,UC Irvine,Home,True,66,61,5,2021-22,BW
31176,2021-12-15,N,Campbell,BSth,Georgia Southern,Home,False,69,66,3,2021-22,SB
9899,2015-11-24,N,Charleston Southern,BSth,East Tennessee St.,Home,True,77,76,1,2015-16,SC
31180,2021-12-15,N,Ohio,MAC,Marshall,Home,True,75,65,10,2021-22,CUSA
9897,2015-11-24,N,Sacramento St.,BSky,UC Davis,Home,True,84,79,5,2015-16,BW
31182,2021-12-15,N,Elon,CAA,Winthrop,Home,True,63,61,2,2021-22,BSth
31173,2021-12-15,N,Missouri St.,MVC,South Dakota St.,Home,True,75,63,12,2021-22,Sum
31388,2021-12-19,N,Monmouth,MAAC,Colgate,Home,True,77,66,11,2021-22,Pat
31212,2021-12-16,N,Rice,CUSA,Incarnate Word,Home,True,85,55,30,2021-22,Slnd
31217,2021-12-16,N,UMBC,AE,UNC Greensboro,Home,False,62,51,11,2021-22,SC
9842,2015-11-23,N,La Salle,A10,Lafayette,Home,True,83,75,8,2015-16,Pat
31256,2021-12-18,N,Samford,SC,Kennesaw St.,Home,True,85,84,1,2021-22,ASun
31258,2021-12-18,N,Murray St.,OVC,Chattanooga,Home,True,87,76,11,2021-22,SC
9838,2015-11-23,N,Providence,BE,NJIT,Home,True,83,76,7,2015-16,ASun
31260,2021-12-18,N,Western Kentucky,CUSA,Louisville,Home,True,82,72,10,2021-22,ACC
31261,2021-12-18,N,Nicholls St.,Slnd,Mississippi Valley S,Home,True,104,73,31,2021-22,SWAC
31252,2021-12-18,N,Oregon,P12,Baylor,Home,False,78,70,8,2021-22,B12
31263,2021-12-18,N,Michigan,B10,Southern Utah,Home,True,87,50,37,2021-22,BSky
31265,2021-12-18,N,Vanderbilt,SEC,Austin Peay,Home,True,77,51,26,2021-22,OVC
31266,2021-12-18,N,Mississippi,SEC,Dayton,Home,True,76,68,8,2021-22,A10
31269,2021-12-18,N,Duke,ACC,Elon,Home,True,87,56,31,2021-22,CAA
31270,2021-12-18,N,Davidson,A10,Radford,Home,True,74,54,20,2021-22,BSth
31271,2021-12-18,N,Oregon St.,P12,Texas A&M,Home,False,83,73,10,2021-22,SEC
31272,2021-12-18,N,Saint Louis,A10,Auburn,Home,False,74,70,4,2021-22,SEC
9834,2015-11-23,N,UC Irvine,BW,Santa Clara,Home,True,79,61,18,2015-16,WCC
31213,2021-12-16,N,Stetson,ASun,Charleston,Home,True,67,59,8,2021-22,CAA
9845,2015-11-23,N,West Virginia,B12,Bethune Cookman,Home,True,97,44,53,2015-16,MEAC
31249,2021-12-18,N,Missouri St.,MVC,Central Arkansas,Home,True,106,70,36,2021-22,ASun
31220,2021-12-16,N,IU Indy,Horz,Chicago St.,Home,False,61,55,6,2021-22,WAC
9872,2015-11-23,N,North Texas,CUSA,Idaho,Home,False,65,63,2,2015-16,BSky
31224,2021-12-17,N,Fresno St.,MWC,Cal Poly,Home,True,83,48,35,2021-22,BW
31228,2021-12-17,N,Mississippi St.,SEC,Furman,Home,True,69,66,3,2021-22,SC
31232,2021-12-17,N,Portland,WCC,San Jose St.,Home,False,90,78,12,2021-22,MWC
31236,2021-12-17,N,Santa Clara,WCC,Florida A&M,Home,True,80,66,14,2021-22,SWAC
9846,2015-11-23,N,Davidson,A10,Mercer,Home,True,77,71,6,2015-16,SC
9860,2015-11-23,N,Illinois,B10,Chicago St.,Home,True,82,79,3,2015-16,WAC
31243,2021-12-17,N,Pacific,WCC,North Dakota St.,Home,False,73,61,12,2021-22,Sum
9855,2015-11-23,N,Kennesaw St.,ASun,IU Indy,Home,True,71,63,8,2015-16,Sum
9853,2015-11-23,N,Xavier,BE,Northern Kentucky,Home,True,78,66,12,2015-16,Horz
9852,2015-11-23,N,Florida Gulf Coast,ASun,Bowling Green,Home,False,82,77,5,2015-16,MAC
31245,2021-12-17,N,UTSA,CUSA,UT Rio Grande Valley,Home,False,68,50,18,2021-22,WAC
31246,2021-12-18,N,Illinois,B10,Saint Francis,Home,True,106,48,58,2021-22,NEC
31238,2021-12-17,N,Tarleton St.,WAC,South Alabama,Home,True,65,52,13,2021-22,SB
31557,2021-12-22,N,Indiana,B10,Northern Kentucky,Home,True,79,61,18,2021-22,Horz
9728,2015-11-22,N,James Madison,CAA,Tennessee Martin,Home,False,78,75,3,2015-16,OVC
9726,2015-11-22,N,Colorado St.,MWC,Oakland,Home,True,95,89,6,2015-16,Horz
31511,2021-12-21,N,Iowa St.,B12,Chicago St.,Home,True,79,48,31,2021-22,WAC
9610,2015-11-21,N,Wofford,SC,Maryland Eastern Sho,Home,True,73,63,10,2015-16,MEAC
31509,2021-12-21,N,High Point,BSth,Florida Atlantic,Home,True,55,52,3,2021-22,CUSA
9612,2015-11-21,N,Pacific,WCC,Nevada,Home,False,85,82,3,2015-16,MWC
9613,2015-11-21,N,Miami OH,MAC,Florida Atlantic,Home,False,75,69,6,2015-16,CUSA
31506,2021-12-21,N,New Mexico,MWC,Norfolk St.,Home,True,68,54,14,2021-22,MEAC
9615,2015-11-21,N,Illinois,B10,Chattanooga,Home,False,81,77,4,2015-16,SC
9616,2015-11-21,N,Kent St.,MAC,Marist,Home,True,79,72,7,2015-16,MAAC
9617,2015-11-21,N,FIU,CUSA,Tennessee Martin,Home,True,69,62,7,2015-16,OVC
9618,2015-11-21,N,Drake,MVC,UMKC,Home,False,79,73,6,2015-16,WAC
31505,2021-12-21,N,Kansas St.,B12,McNeese St.,Home,True,74,59,15,2021-22,Slnd
9620,2015-11-21,N,Wagner,NEC,Maine,Home,True,87,73,14,2015-16,AE
31504,2021-12-21,N,Harvard,Ivy,Howard,Home,True,77,69,8,2021-22,MEAC
9622,2015-11-21,N,Samford,SC,Kennesaw St.,Home,True,77,65,12,2015-16,ASun
9623,2015-11-21,N,Sam Houston St.,Slnd,Southern Illinois,Home,False,86,81,5,2015-16,MVC
31503,2021-12-21,N,The Citadel,SC,Manhattan,Home,False,77,74,3,2021-22,MAAC
31499,2021-12-21,N,Cal Baptist,WAC,Southeast Missouri S,Home,True,84,68,16,2021-22,OVC
9640,2015-11-21,N,Tennessee St.,OVC,Middle Tennessee,Home,False,69,66,3,2015-16,CUSA
9639,2015-11-21,N,Northern Colorado,BSky,UMBC,Home,False,81,72,9,2015-16,AE
9638,2015-11-21,N,South Florida,Amer,Boston University,Home,False,78,66,12,2015-16,Pat
9637,2015-11-21,N,Eastern Illinois,OVC,Western Illinois,Home,False,83,63,20,2015-16,Sum
31489,2021-12-21,N,Iowa,B10,Southeastern Louisia,Home,True,93,62,31,2021-22,Slnd
9634,2015-11-21,N,Presbyterian,BSth,The Citadel,Home,True,95,79,16,2015-16,SC
9608,2015-11-21,N,NJIT,ASun,Lafayette,Home,True,80,66,14,2015-16,Pat
9633,2015-11-21,N,Dayton,A10,William & Mary,Home,True,69,66,3,2015-16,CAA
31496,2021-12-21,N,North Carolina,ACC,Appalachian St.,Home,True,70,50,20,2021-22,SB
9630,2015-11-21,N,Rutgers,B10,Central Arkansas,Home,True,87,84,3,2015-16,Slnd
31497,2021-12-21,N,Utah,P12,Fresno St.,Home,True,55,50,5,2021-22,MWC
9628,2015-11-21,N,UNC Wilmington,CAA,Western Michigan,Home,True,80,76,4,2015-16,MAC
31498,2021-12-21,N,Ball St.,MAC,Eastern Illinois,Home,True,75,55,20,2021-22,OVC
9626,2015-11-21,N,Northern Kentucky,Horz,Morehead St.,Home,False,64,56,8,2015-16,OVC
31494,2021-12-21,N,Cincinnati,Amer,Tennessee Tech,Home,True,76,67,9,2021-22,OVC
31512,2021-12-21,N,Cal St. Bakersfield,BW,Dartmouth,Home,True,61,57,4,2021-22,Ivy
31514,2021-12-21,N,N.C. State,ACC,Wright St.,Home,False,84,70,14,2021-22,Horz
31515,2021-12-21,N,East Carolina,Amer,Southern Miss,Home,True,68,67,1,2021-22,CUSA
9583,2015-11-21,N,Louisville,ACC,North Florida,Home,True,89,61,28,2015-16,ASun
9582,2015-11-21,N,High Point,BSth,Western Carolina,Home,True,75,69,6,2015-16,SC
9581,2015-11-21,N,New Mexico St.,WAC,Mississippi Valley S,Home,True,85,46,39,2015-16,SWAC
9580,2015-11-21,N,Canisius,MAAC,Cornell,Home,True,87,62,25,2015-16,Ivy
31550,2021-12-22,N,Houston,Amer,Texas St.,Home,True,80,47,33,2021-22,SB
9578,2015-11-21,N,Saint Francis,NEC,American,Home,True,68,48,20,2015-16,Pat
31549,2021-12-21,N,Lehigh,Pat,Albany,Home,False,68,52,16,2021-22,AE
31552,2021-12-22,N,Valparaiso,MVC,William & Mary,Home,True,88,66,22,2021-22,CAA
31553,2021-12-22,N,Charlotte,CUSA,Western Carolina,Home,True,98,82,16,2021-22,SC
31554,2021-12-22,N,Wichita St.,Amer,Prairie View A&M,Home,True,102,66,36,2021-22,SWAC
9572,2015-11-21,N,Drexel,CAA,Monmouth,Home,False,82,74,8,2015-16,MAAC
31555,2021-12-22,N,Drake,MVC,Chicago St.,Home,True,87,50,37,2021-22,WAC
9570,2015-11-21,N,Saint Louis,A10,St. Francis NY,Home,True,76,60,16,2015-16,NEC
31556,2021-12-22,N,South Carolina,SEC,Army,Home,True,105,75,30,2021-22,Pat
9575,2015-11-21,N,Northern Iowa,MVC,North Carolina,Home,True,71,67,4,2015-16,ACC
31487,2021-12-21,N,George Mason,A10,American,Home,True,67,44,23,2021-22,Pat
9585,2015-11-21,N,Texas A&M,SEC,UNC Asheville,Home,True,75,47,28,2015-16,BSth
9587,2015-11-21,N,UTEP,CUSA,Texas St.,Home,True,77,62,15,2015-16,SB
9604,2015-11-21,N,Princeton,Ivy,Saint Peter's,Home,True,75,72,3,2015-16,MAAC
9603,2015-11-21,N,Western Kentucky,CUSA,Stony Brook,Home,True,67,66,1,2015-16,AE
31517,2021-12-21,N,Texas A&M,SEC,Northwestern St.,Home,True,80,61,19,2021-22,Slnd
9601,2015-11-21,N,Rhode Island,A10,Cleveland St.,Home,True,73,45,28,2015-16,Horz
31519,2021-12-21,N,Georgia Tech,ACC,Georgia St.,Home,True,72,62,10,2021-22,SB
9599,2015-11-21,N,Richmond,A10,Bethune Cookman,Home,True,89,64,25,2015-16,MEAC
31546,2021-12-21,N,San Jose St.,MWC,Santa Clara,Home,False,79,57,22,2021-22,WCC
31527,2021-12-21,N,Bellarmine,ASun,Loyola Marymount,Home,False,71,57,14,2021-22,WCC
31530,2021-12-21,N,IU Indy,Horz,Morehead St.,Home,False,80,52,28,2021-22,OVC
9594,2015-11-21,N,Notre Dame,ACC,UMass Lowell,Home,True,83,57,26,2015-16,AE
31533,2021-12-21,N,Oregon,P12,Pepperdine,Home,True,68,59,9,2021-22,WCC
31541,2021-12-21,N,Maine,AE,Merrimack,Home,False,49,47,2,2021-22,NEC
31542,2021-12-21,N,Washington,P12,Utah Valley,Home,False,68,52,16,2021-22,WAC
9589,2015-11-21,N,Cal St. Fullerton,BW,San Diego,Home,True,67,55,12,2015-16,WCC
9596,2015-11-21,N,Southern Utah,BSky,UTSA,Home,False,82,79,3,2015-16,CUSA
9642,2015-11-21,N,Fordham,A10,Fairleigh Dickinson,Home,True,85,62,23,2015-16,NEC
31486,2021-12-21,N,UTEP,CUSA,North Carolina Centr,Home,True,70,61,9,2021-22,MEAC
31484,2021-12-21,N,Pittsburgh,ACC,Jacksonville,Home,True,64,55,9,2021-22,ASun
9707,2015-11-22,N,Columbia,Ivy,Lehigh,Home,True,88,61,27,2015-16,Pat
31411,2021-12-19,N,Illinois Chicago,Horz,Northern Illinois,Home,True,61,60,1,2021-22,MAC
31412,2021-12-19,N,Florida Gulf Coast,ASun,Mercer,Home,True,67,55,12,2021-22,SC
31415,2021-12-19,N,Pacific,WCC,UC Davis,Home,False,77,67,10,2021-22,BW
31417,2021-12-19,N,UMass Lowell,AE,Sacred Heart,Home,True,70,62,8,2021-22,NEC
31418,2021-12-19,N,Harvard,Ivy,Holy Cross,Home,True,62,54,8,2021-22,Pat
31408,2021-12-19,N,Arizona St.,P12,San Francisco,Home,False,66,65,1,2021-22,WCC
31427,2021-12-19,N,Montana St.,BSky,Portland,Home,True,61,59,2,2021-22,WCC
31434,2021-12-20,N,Baylor,B12,Alcorn St.,Home,True,94,57,37,2021-22,SWAC
31435,2021-12-20,N,Miami FL,ACC,Stetson,Home,True,82,72,10,2021-22,ASun
9694,2015-11-21,N,Campbell,BSth,Morgan St.,Home,False,59,54,5,2015-16,MEAC
9693,2015-11-21,N,San Diego St.,MWC,Little Rock,Home,False,49,43,6,2015-16,SB
31436,2021-12-20,N,Notre Dame,ACC,Western Michigan,Home,True,85,52,33,2021-22,MAC
31438,2021-12-20,N,Gonzaga,WCC,Northern Arizona,Home,True,95,49,46,2021-22,BSky
31431,2021-12-19,N,Nebraska,B10,Kansas St.,Home,False,67,58,9,2021-22,B12
31440,2021-12-20,N,Purdue,B10,Incarnate Word,Home,True,79,59,20,2021-22,Slnd
9709,2015-11-22,N,Eastern Kentucky,OVC,Longwood,Home,True,110,97,13,2015-16,BSth
9711,2015-11-22,N,Saint Mary's,WCC,Stanford,Home,True,78,61,17,2015-16,P12
31389,2021-12-19,N,LIU,NEC,Army,Home,True,90,65,25,2021-22,Pat
31391,2021-12-19,N,Detroit Mercy,Horz,Central Michigan,Home,True,89,75,14,2021-22,MAC
31392,2021-12-19,N,Bowling Green,MAC,Robert Morris,Home,True,100,74,26,2021-22,Horz
31393,2021-12-19,N,Oklahoma,B12,UT Arlington,Home,True,70,50,20,2021-22,SB
9721,2015-11-22,N,Oregon,P12,Valparaiso,Home,True,73,67,6,2015-16,Horz
31394,2021-12-19,N,New Mexico,MWC,SMU,Home,False,90,72,18,2021-22,Amer
31407,2021-12-19,N,UC Santa Barbara,BW,Florida A&M,Home,True,73,62,11,2021-22,SWAC
31395,2021-12-19,N,Iowa St.,B12,Southeastern Louisia,Home,True,77,54,23,2021-22,Slnd
31398,2021-12-19,N,Santa Clara,WCC,Montana,Home,True,79,64,15,2021-22,BSky
31399,2021-12-19,N,Arkansas St.,SB,Air Force,Home,True,68,46,22,2021-22,MWC
31401,2021-12-19,N,Massachusetts,A10,Fairfield,Home,True,77,73,4,2021-22,MAAC
9714,2015-11-22,N,Montana St.,BSky,Wyoming,Home,True,83,82,1,2015-16,MWC
31404,2021-12-19,N,Richmond,A10,Old Dominion,Home,True,67,61,6,2021-22,CUSA
31406,2021-12-19,N,California,P12,Dartmouth,Home,True,61,55,6,2021-22,Ivy
31396,2021-12-19,N,Drake,MVC,Tennessee Martin,Home,True,80,54,26,2021-22,OVC
9727,2015-11-22,N,George Washington,A10,Army,Home,True,92,81,11,2015-16,Pat
9688,2015-11-21,N,Austin Peay,OVC,Cal Poly,Home,False,73,64,9,2015-16,BW
31442,2021-12-20,N,Georgia,SEC,Western Carolina,Home,True,85,79,6,2021-22,SC
9660,2015-11-21,N,UCF,Amer,UNC Greensboro,Home,True,65,54,11,2015-16,SC
9659,2015-11-21,N,Fairfield,MAAC,Sacred Heart,Home,True,83,79,4,2015-16,NEC
9658,2015-11-21,N,Syracuse,ACC,Elon,Home,True,66,55,11,2015-16,CAA
31475,2021-12-21,N,South Alabama,SB,SIU Edwardsville,Home,True,84,69,15,2021-22,OVC
9656,2015-11-21,N,Texas,B12,Texas A&M Corpus Chr,Home,True,67,56,11,2015-16,Slnd
31476,2021-12-21,N,Arkansas,SEC,Elon,Home,True,81,55,26,2021-22,CAA
31474,2021-12-21,N,Oregon St.,P12,Nicholls St.,Home,True,83,61,22,2021-22,Slnd
31477,2021-12-21,N,Tarleton St.,WAC,Air Force,Home,True,67,45,22,2021-22,MWC
9651,2015-11-21,N,Loyola Chicago,MVC,Toledo,Home,True,69,62,7,2015-16,MAC
31480,2021-12-21,N,Little Rock,SB,Jacksonville St.,Home,False,87,67,20,2021-22,ASun
31481,2021-12-21,N,Dayton,A10,Southern,Home,True,69,60,9,2021-22,SWAC
9648,2015-11-21,N,UC Santa Barbara,BW,Oregon St.,Home,False,71,59,12,2015-16,P12
9646,2015-11-21,N,Virginia Tech,ACC,VMI,Home,True,76,52,24,2015-16,SC
9645,2015-11-21,N,Lipscomb,ASun,Northeastern,Home,False,79,67,12,2015-16,CAA
31479,2021-12-21,N,Mississippi,SEC,Samford,Home,False,75,73,2,2021-22,SC
31441,2021-12-20,N,Wagner,NEC,Delaware St.,Home,True,93,51,42,2021-22,MEAC
31473,2021-12-21,N,Illinois St.,MVC,UTSA,Home,True,81,64,17,2021-22,CUSA
31471,2021-12-21,N,Ohio,MAC,USC Upstate,Home,True,85,70,15,2021-22,BSth
31444,2021-12-20,N,Lamar,WAC,Louisiana Monroe,Home,False,80,77,3,2021-22,SB
31446,2021-12-20,N,Charlotte,CUSA,Maryland Eastern Sho,Home,True,70,54,16,2021-22,MEAC
31449,2021-12-20,N,Valparaiso,MVC,Eastern Michigan,Home,True,67,55,12,2021-22,MAC
31456,2021-12-20,N,The Citadel,SC,South Carolina St.,Home,False,74,57,17,2021-22,MEAC
9680,2015-11-21,N,TCU,B12,South Dakota St.,Home,False,76,67,9,2015-16,Sum
9676,2015-11-21,N,Grambling St.,SWAC,Louisiana Tech,Home,False,86,67,19,2015-16,CUSA
31472,2021-12-21,N,Utah St.,MWC,Portland St.,Home,True,81,62,19,2021-22,BSky
9674,2015-11-21,N,Manhattan,MAAC,Bucknell,Home,False,80,67,13,2015-16,Pat
31464,2021-12-21,N,Furman,SC,Presbyterian,Home,True,75,61,14,2021-22,BSth
9670,2015-11-21,N,Florida Gulf Coast,ASun,Youngstown St.,Home,True,104,101,3,2015-16,Horz
9668,2015-11-21,N,James Madison,CAA,Oral Roberts,Home,False,74,64,10,2015-16,Sum
9667,2015-11-21,N,Illinois St.,MVC,Houston Christian,Home,True,72,56,16,2015-16,Slnd
31468,2021-12-21,N,TCU,B12,Grambling St.,Home,True,90,55,35,2021-22,SWAC
31470,2021-12-21,N,Toledo,MAC,Marshall,Home,True,95,63,32,2021-22,CUSA
9672,2015-11-21,N,San Francisco,WCC,UC Riverside,Home,True,58,57,1,2015-16,BW
30347,2021-12-02,N,Cal Baptist,WAC,Cal Poly,Home,True,64,55,9,2021-22,BW
30346,2021-12-02,N,Grand Canyon,WAC,UTSA,Home,True,74,71,3,2021-22,CUSA
30345,2021-12-02,N,Towson,CAA,LIU,Home,True,72,63,9,2021-22,NEC
11503,2015-12-13,N,Villanova,BE,La Salle,Home,True,76,47,29,2015-16,A10
11504,2015-12-13,N,St. John's,BE,Syracuse,Home,True,84,72,12,2015-16,ACC
29571,2021-11-23,N,South Carolina St.,MEAC,USC Upstate,Home,False,82,78,4,2021-22,BSth
11506,2015-12-13,N,Arizona,P12,Missouri,Home,True,88,52,36,2015-16,SEC
11507,2015-12-13,N,USC,P12,Yale,Home,True,68,56,12,2015-16,Ivy
11510,2015-12-13,N,Denver,Sum,Weber St.,Home,True,69,68,1,2015-16,BSky
11512,2015-12-13,N,Colgate,Pat,New Hampshire,Home,True,75,59,16,2015-16,AE
11513,2015-12-13,N,Seton Hall,BE,Saint Peter's,Home,True,72,46,26,2015-16,MAAC
11514,2015-12-13,N,Northern Kentucky,Horz,Norfolk St.,Home,True,81,60,21,2015-16,MEAC
11515,2015-12-13,N,Miami OH,MAC,Wright St.,Home,True,72,67,5,2015-16,Horz
11516,2015-12-13,N,Western Kentucky,CUSA,Indiana St.,Home,True,75,62,13,2015-16,MVC
11517,2015-12-13,N,Pittsburgh,ACC,Morehead St.,Home,True,72,62,10,2015-16,OVC
11519,2015-12-13,N,Washington St.,P12,UTEP,Home,True,84,68,16,2015-16,CUSA
11520,2015-12-13,N,Fordham,A10,Coppin St.,Home,True,92,55,37,2015-16,MEAC
11521,2015-12-13,N,Northwestern,B10,Chicago St.,Home,True,77,35,42,2015-16,WAC
11524,2015-12-13,N,Virginia Tech,ACC,Lamar,Home,True,88,53,35,2015-16,Slnd
11525,2015-12-13,N,Nebraska,B10,Rhode Island,Home,True,70,67,3,2015-16,A10
11552,2015-12-13,N,East Carolina,Amer,North Carolina A&T,Home,True,71,60,11,2015-16,MEAC
29546,2021-11-23,N,San Jose St.,MWC,Northern Colorado,Home,True,75,74,1,2021-22,BSky
11549,2015-12-13,N,Illinois St.,MVC,Murray St.,Home,True,63,61,2,2015-16,OVC
29547,2021-11-23,N,North Carolina,ACC,UNC Asheville,Home,True,72,53,19,2021-22,BSth
29551,2021-11-23,N,Indiana,B10,Jackson St.,Home,True,70,35,35,2021-22,SWAC
11543,2015-12-13,N,San Jose St.,MWC,Montana St.,Home,False,91,83,8,2015-16,BSky
11502,2015-12-13,N,Houston,Amer,LSU,Home,True,105,98,7,2015-16,SEC
11540,2015-12-13,N,Boston College,ACC,Maine,Home,True,91,60,31,2015-16,AE
11537,2015-12-13,N,Northern Colorado,BSky,Colorado St.,Home,True,73,64,9,2015-16,MWC
29557,2021-11-23,N,Stanford,P12,North Carolina A&T,Home,True,79,65,14,2021-22,BSth
11532,2015-12-13,N,Iowa St.,B12,Arkansas Pine Bluff,Home,True,78,64,14,2015-16,SWAC
11528,2015-12-13,N,Grand Canyon,WAC,Nebraska Omaha,Home,False,108,104,4,2015-16,Sum
11527,2015-12-13,N,Florida Gulf Coast,ASun,Massachusetts,Home,True,77,76,1,2015-16,A10
11526,2015-12-13,N,Monmouth,MAAC,Wagner,Home,True,73,54,19,2015-16,NEC
11538,2015-12-13,N,Florida St.,ACC,Southeastern Louisia,Home,True,75,58,17,2015-16,Slnd
11501,2015-12-13,N,UAB,CUSA,Seattle,Home,True,79,73,6,2015-16,WAC
11500,2015-12-13,N,Notre Dame,ACC,Loyola Chicago,Home,True,81,61,20,2015-16,MVC
11499,2015-12-13,N,South Dakota St.,Sum,UC Santa Barbara,Home,True,86,68,18,2015-16,BW
11463,2015-12-12,N,SIU Edwardsville,OVC,Portland St.,Home,True,74,64,10,2015-16,BSky
29605,2021-11-23,N,Saint Peter's,MAAC,LIU,Home,True,64,62,2,2021-22,NEC
29606,2021-11-23,N,Maine,AE,Central Connecticut,Home,False,64,56,8,2021-22,NEC
11459,2015-12-12,N,Providence,BE,Bryant,Home,True,74,67,7,2015-16,NEC
29608,2021-11-23,N,Portland St.,BSky,Portland,Home,False,69,54,15,2021-22,WCC
11455,2015-12-12,N,Wisconsin,B10,Marquette,Home,False,57,55,2,2015-16,BE
11464,2015-12-12,N,Florida A&M,MEAC,Samford,Home,False,86,67,19,2015-16,SC
11453,2015-12-12,N,Ball St.,MAC,Pepperdine,Home,False,72,63,9,2015-16,WCC
11446,2015-12-12,N,VMI,SC,Navy,Home,False,68,62,6,2015-16,Pat
11445,2015-12-12,N,Air Force,MWC,Army,Home,False,90,80,10,2015-16,Pat
29619,2021-11-24,N,Louisiana Tech,CUSA,Louisiana Monroe,Home,True,96,74,22,2021-22,SB
11442,2015-12-12,N,Richmond,A10,Longwood,Home,True,77,59,18,2015-16,BSth
11441,2015-12-12,N,Cleveland St.,Horz,Ohio,Home,False,76,67,9,2015-16,MAC
11440,2015-12-12,N,Dayton,A10,Chattanooga,Home,False,61,59,2,2015-16,SC
29617,2021-11-24,N,Massachusetts,A10,UMass Lowell,Home,True,92,81,11,2021-22,AE
29542,2021-11-23,N,Nebraska,B10,Tennessee St.,Home,True,79,73,6,2021-22,OVC
11466,2015-12-12,N,Tennessee St.,OVC,Grambling St.,Home,True,64,52,12,2015-16,SWAC
11469,2015-12-12,N,Saint Louis,A10,Alabama A&M,Home,True,75,58,17,2015-16,SWAC
11498,2015-12-13,N,West Virginia,B12,Louisiana Monroe,Home,True,100,58,42,2015-16,SB
29575,2021-11-23,N,St. John's,BE,St. Francis NY,Home,True,76,70,6,2021-22,NEC
11492,2015-12-12,N,DePaul,BE,Little Rock,Home,False,66,44,22,2015-16,SB
11491,2015-12-12,N,Furman,SC,Gardner Webb,Home,False,73,53,20,2015-16,BSth
29584,2021-11-23,N,Lehigh,Pat,Columbia,Home,True,79,72,7,2021-22,Ivy
11487,2015-12-12,N,UC Riverside,BW,UNLV,Home,False,73,62,11,2015-16,MWC
11467,2015-12-12,N,Hartford,AE,Holy Cross,Home,False,90,68,22,2015-16,Pat
11484,2015-12-12,N,Penn St.,B10,Louisiana Monroe,Home,True,54,50,4,2015-16,SB
11479,2015-12-12,N,Lipscomb,ASun,Princeton,Home,False,78,64,14,2015-16,Ivy
11478,2015-12-12,N,Liberty,BSth,Lamar,Home,False,73,58,15,2015-16,Slnd
29595,2021-11-23,N,Bethune Cookman,SWAC,Liberty,Home,False,59,51,8,2021-22,ASun
11474,2015-12-12,N,Southeast Missouri S,OVC,Mississippi,Home,False,75,64,11,2015-16,SEC
11473,2015-12-12,N,Saint Francis,NEC,Duquesne,Home,False,67,65,2,2015-16,A10
11471,2015-12-12,N,Western Illinois,Sum,Eastern Illinois,Home,True,64,57,7,2015-16,OVC
11481,2015-12-12,N,Toledo,MAC,Oakland,Home,False,76,64,12,2015-16,Horz
29539,2021-11-23,N,Marshall,CUSA,Louisiana,Home,True,93,79,14,2021-22,SB
11558,2015-12-13,N,Texas St.,SB,UT Rio Grande Valley,Home,True,68,59,9,2015-16,WAC
11559,2015-12-13,N,Clemson,ACC,Alabama,Home,False,51,50,1,2015-16,SEC
11633,2015-12-15,N,Northwestern,B10,Mississippi Valley S,Home,True,78,48,30,2015-16,SWAC
11632,2015-12-15,N,Eastern Kentucky,OVC,Florida Atlantic,Home,True,80,73,7,2015-16,CUSA
11630,2015-12-15,N,Cincinnati,Amer,Norfolk St.,Home,True,75,59,16,2015-16,MEAC
11627,2015-12-15,N,South Carolina,SEC,Drexel,Home,True,79,54,25,2015-16,CAA
11626,2015-12-15,N,Wake Forest,ACC,UNC Greensboro,Home,True,81,71,10,2015-16,SC
11624,2015-12-15,N,Wisconsin,B10,Texas A&M Corpus Chr,Home,True,64,49,15,2015-16,Slnd
29493,2021-11-22,N,Seattle,WAC,Arkansas Pine Bluff,Home,True,77,56,21,2021-22,SWAC
11622,2015-12-15,N,Santa Clara,WCC,Arkansas Pine Bluff,Home,True,69,57,12,2015-16,SWAC
29505,2021-11-22,N,UTEP,CUSA,UC Riverside,Home,False,52,40,12,2021-22,BW
11618,2015-12-15,N,Auburn,SEC,Mercer,Home,True,78,71,7,2015-16,SC
11617,2015-12-15,N,Georgia Tech,ACC,VCU,Home,True,77,64,13,2015-16,A10
11615,2015-12-15,N,Chattanooga,SC,Tennessee Tech,Home,True,80,69,11,2015-16,OVC
11613,2015-12-15,N,Michigan,B10,Northern Kentucky,Home,True,77,62,15,2015-16,Horz
11612,2015-12-15,N,Stanford,P12,DePaul,Home,True,79,60,19,2015-16,BE
29504,2021-11-22,N,Rutgers,B10,Lafayette,Home,False,53,51,2,2021-22,Pat
11611,2015-12-15,N,Green Bay,Horz,Pacific,Home,True,93,88,5,2015-16,WCC
