,Date,Type,Team,Conf.,Opp.,Venue,Win,Points_For,Points_Against,Point_Differential,Season,Opp_Conf
7040,2014-12-13,N,Siena,MAAC,Albany,Home,False,77,68,9,2014-15,AE
32766,2022-11-15,N,Providence,BE,Stonehill,Home,True,100,76,24,2022-23,NEC
33601,2022-11-23,N,UCLA,P12,Pepperdine,Home,True,100,53,47,2022-23,WCC
32822,2022-11-15,N,Xavier,BE,Fairfield,Home,True,78,65,13,2022-23,MAAC
33100,2022-11-18,N,Oklahoma,B12,South Alabama,Home,True,64,60,4,2022-23,SB
32753,2022-11-14,N,Hawaii,BW,Yale,Home,False,62,59,3,2022-23,Ivy
7965,2014-12-23,N,Eastern Michigan,MAC,Coppin St.,Home,True,87,64,23,2014-15,MEAC
32824,2022-11-15,N,Wake Forest,ACC,Utah Valley,Home,True,68,65,3,2022-23,WAC
33099,2022-11-18,N,Florida St.,ACC,Florida,Home,False,76,67,9,2022-23,SEC
8270,2014-12-31,N,Wake Forest,ACC,Princeton,Home,True,80,66,14,2014-15,Ivy
7967,2014-12-23,N,Mississippi St.,SEC,Jacksonville,Home,True,70,47,23,2014-15,ASun
32823,2022-11-15,N,San Jose St.,MWC,Alabama St.,Home,True,70,57,13,2022-23,SWAC
7088,2014-12-13,N,Valparaiso,Horz,Ball St.,Home,True,65,62,3,2014-15,MAC
32755,2022-11-14,N,Illinois Chicago,MVC,Jacksonville St.,Home,True,67,60,7,2022-23,ASun
32756,2022-11-14,N,Minnesota,B10,DePaul,Home,False,69,53,16,2022-23,BE
7086,2014-12-13,N,Weber St.,BSky,BYU,Home,False,76,60,16,2014-15,WCC
8349,2015-01-03,N,Texas A&M,SEC,Hartford,Home,True,58,49,9,2014-15,AE
32757,2022-11-14,N,Air Force,MWC,Texas A&M Commerce,Home,False,73,69,4,2022-23,Slnd
8272,2014-12-31,N,Youngstown St.,Horz,Northern Kentucky,Home,True,78,74,4,2014-15,ASun
7038,2014-12-13,N,Evansville,MVC,Murray St.,Home,False,81,79,2,2014-15,OVC
7303,2014-12-16,N,Mercer,SC,Dartmouth,Home,False,67,51,16,2014-15,Ivy
8345,2015-01-03,N,Missouri,SEC,Lipscomb,Home,True,72,60,12,2014-15,ASun
7968,2014-12-23,N,South Alabama,SB,Howard,Home,False,73,60,13,2014-15,MEAC
6935,2014-12-10,N,Nebraska,B10,Incarnate Word,Home,False,74,73,1,2014-15,Slnd
32661,2022-11-13,N,Valparaiso,MVC,Western Michigan,Home,True,81,65,16,2022-23,MAC
8435,2015-03-03,N,North Dakota,BSky,Nebraska Omaha,Home,False,80,78,2,2014-15,Sum
32513,2022-11-11,N,South Carolina,SEC,Clemson,Home,True,60,58,2,2022-23,ACC
33916,2022-11-26,N,Bradley,MVC,Merrimack,Home,True,83,41,42,2022-23,NEC
